epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,2949.21,1.36289,1.04777,0.00728,0.62865,0.57913,0.58565,0.36754,1.20042,0.86456,0.00893,0.008812,0.008812,0.008812
14,3123.53,1.34861,1.02299,0.00718,0.63692,0.59219,0.59622,0.37519,1.18337,0.84926,0.00878,0.008713,0.008713,0.008713
15,3298.04,1.34106,1.00738,0.00707,0.65001,0.59632,0.60713,0.38352,1.1762,0.81794,0.00865,0.008614,0.008614,0.008614
16,3468.33,1.33155,0.99007,0.00704,0.66118,0.60839,0.62087,0.39625,1.16084,0.8041,0.00848,0.008515,0.008515,0.008515
17,3631,1.32124,0.96735,0.0069,0.65138,0.62221,0.62642,0.4,1.15729,0.7876,0.0084,0.008416,0.008416,0.008416
18,3793.07,1.31541,0.96056,0.0069,0.66909,0.61847,0.63241,0.40616,1.1416,0.7774,0.00824,0.008317,0.008317,0.008317
19,3955.45,1.30621,0.94576,0.00683,0.67427,0.62781,0.64385,0.41437,1.13429,0.76211,0.00814,0.008218,0.008218,0.008218
20,4118.32,1.2998,0.93514,0.00678,0.67996,0.63679,0.64842,0.41934,1.12565,0.75253,0.00805,0.008119,0.008119,0.008119
21,4286.72,1.29272,0.91803,0.00668,0.68621,0.64218,0.6569,0.42546,1.12221,0.73797,0.00796,0.00802,0.00802,0.00802
22,4464.21,1.2916,0.9105,0.00666,0.70323,0.64551,0.66775,0.43114,1.11396,0.72498,0.0079,0.007921,0.007921,0.007921
23,4626.11,1.28022,0.90157,0.00664,0.70487,0.64849,0.67064,0.43494,1.10818,0.72013,0.00784,0.007822,0.007822,0.007822
24,4788.93,1.27326,0.89011,0.00657,0.70645,0.65761,0.67714,0.44067,1.10123,0.71052,0.00776,0.007723,0.007723,0.007723
25,4951.11,1.27373,0.88731,0.00653,0.71392,0.66178,0.682,0.44427,1.09901,0.70316,0.00772,0.007624,0.007624,0.007624
26,5113.48,1.26381,0.87091,0.00645,0.71677,0.6674,0.68695,0.44921,1.09518,0.6985,0.00768,0.007525,0.007525,0.007525
27,5300.05,1.26088,0.86658,0.00645,0.71168,0.67506,0.68829,0.45215,1.08873,0.69199,0.00761,0.007426,0.007426,0.007426
28,5554.14,1.25738,0.85704,0.00639,0.71854,0.67433,0.69305,0.45433,1.08418,0.68567,0.00754,0.007327,0.007327,0.007327
29,5803.59,1.25083,0.85145,0.00637,0.72465,0.68251,0.69739,0.45856,1.08118,0.68052,0.00751,0.007228,0.007228,0.007228
30,6063.94,1.24813,0.84484,0.00635,0.72507,0.68624,0.7013,0.46083,1.07661,0.67484,0.00747,0.007129,0.007129,0.007129
31,6303.11,1.24225,0.83495,0.00628,0.7287,0.68757,0.70593,0.46584,1.07419,0.6694,0.00743,0.00703,0.00703,0.00703
32,6473.29,1.2377,0.83294,0.00627,0.73261,0.69161,0.70946,0.46853,1.07189,0.66389,0.00741,0.006931,0.006931,0.006931
33,6652.01,1.23715,0.82793,0.00626,0.73031,0.69692,0.7126,0.47134,1.06873,0.65829,0.00737,0.006832,0.006832,0.006832
34,6828.6,1.23362,0.82193,0.00621,0.73774,0.69365,0.71497,0.4729,1.06614,0.657,0.00734,0.006733,0.006733,0.006733
35,7003.78,1.2294,0.81717,0.0062,0.74348,0.69551,0.71599,0.47446,1.06445,0.65398,0.00733,0.006634,0.006634,0.006634
36,7176.68,1.2251,0.81199,0.00615,0.74447,0.69819,0.71771,0.47599,1.0629,0.649,0.0073,0.006535,0.006535,0.006535
37,7341.09,1.22248,0.80141,0.00616,0.74503,0.69981,0.72024,0.47833,1.06083,0.645,0.00728,0.006436,0.006436,0.006436
38,7504.76,1.21919,0.80258,0.00611,0.74665,0.69621,0.71954,0.47805,1.05933,0.64235,0.00726,0.006337,0.006337,0.006337
39,7669.75,1.21621,0.79612,0.00612,0.74625,0.69883,0.72189,0.47945,1.05739,0.63988,0.00724,0.006238,0.006238,0.006238
40,7834.52,1.21331,0.7962,0.0061,0.7495,0.69892,0.72321,0.48078,1.05622,0.63788,0.00722,0.006139,0.006139,0.006139
41,7999.61,1.20913,0.78676,0.00601,0.75061,0.70164,0.72469,0.48211,1.05468,0.63578,0.0072,0.00604,0.00604,0.00604
42,8164.11,1.20846,0.78458,0.00605,0.75585,0.70119,0.72628,0.48375,1.05299,0.63374,0.00717,0.005941,0.005941,0.005941
