epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,20250.1,0.85826,0.56366,1.10755,0.7751,0.74927,0.76159,0.54763,0.51866,0.84544,0.54047,1.11466,0.003466,0.003466,0.003466
68,20479.7,0.85851,0.56549,1.10729,0.7755,0.74926,0.76215,0.54824,0.51934,0.8448,0.53975,1.11415,0.003367,0.003367,0.003367
69,20770.7,0.85659,0.56246,1.10519,0.77646,0.7492,0.76278,0.54969,0.5202,0.84434,0.53908,1.11366,0.003268,0.003268,0.003268
70,21092.6,0.85425,0.5611,1.10643,0.77667,0.74999,0.76299,0.54965,0.52042,0.84379,0.53836,1.11316,0.003169,0.003169,0.003169
71,21414.2,0.85129,0.55849,1.10316,0.77696,0.75038,0.76333,0.54994,0.52084,0.8432,0.53771,1.11261,0.00307,0.00307,0.00307
72,21736,0.84898,0.55468,1.10256,0.77818,0.75024,0.76458,0.55091,0.52173,0.84268,0.53694,1.11209,0.002971,0.002971,0.002971
73,22057.8,0.84721,0.55387,1.09924,0.77853,0.75036,0.76489,0.55122,0.52234,0.842,0.53623,1.11148,0.002872,0.002872,0.002872
74,22369,0.84482,0.55077,1.09915,0.77755,0.75253,0.76546,0.55229,0.52288,0.84139,0.53564,1.111,0.002773,0.002773,0.002773
75,22661.9,0.84276,0.54968,1.10002,0.77876,0.75246,0.76593,0.55205,0.52342,0.84084,0.53505,1.11048,0.002674,0.002674,0.002674
76,22892.7,0.84091,0.54829,1.09628,0.77776,0.75479,0.76629,0.55291,0.52356,0.8402,0.53445,1.10993,0.002575,0.002575,0.002575
77,23122.7,0.84087,0.54738,1.09624,0.77797,0.75457,0.76678,0.55307,0.52416,0.83965,0.53372,1.10941,0.002476,0.002476,0.002476
78,23352.8,0.83758,0.54177,1.09656,0.77767,0.75635,0.76751,0.55396,0.52495,0.83909,0.53309,1.10889,0.002377,0.002377,0.002377
79,23583.2,0.83714,0.54337,1.09557,0.77754,0.75671,0.76789,0.55452,0.52539,0.83861,0.53256,1.10838,0.002278,0.002278,0.002278
80,23812.3,0.83448,0.54144,1.09474,0.77864,0.75685,0.76864,0.55531,0.52604,0.83804,0.53206,1.1079,0.002179,0.002179,0.002179
81,24042.3,0.82652,0.53533,1.08982,0.77904,0.75681,0.76889,0.55622,0.52649,0.83736,0.53154,1.1074,0.00208,0.00208,0.00208
82,24272.3,0.82664,0.53407,1.08795,0.77935,0.75676,0.76939,0.5567,0.52737,0.83685,0.5311,1.10697,0.001981,0.001981,0.001981
