epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,15027.2,0.86298,0.56517,1.11798,0.78361,0.75118,0.76786,0.55524,0.52411,0.84311,0.53243,1.12123,0.003862,0.003862,0.003862
64,15257,0.86275,0.56526,1.11594,0.78283,0.75148,0.76815,0.55525,0.52443,0.84254,0.5318,1.12071,0.003763,0.003763,0.003763
65,15487.3,0.85762,0.56264,1.11453,0.78334,0.75214,0.76865,0.55657,0.52493,0.84213,0.53094,1.12022,0.003664,0.003664,0.003664
66,15716.5,0.85866,0.55923,1.11344,0.78222,0.75381,0.76964,0.5565,0.52551,0.84163,0.53022,1.11968,0.003565,0.003565,0.003565
67,15945.5,0.85357,0.55687,1.11017,0.78288,0.75452,0.77073,0.55671,0.52618,0.84111,0.5296,1.11923,0.003466,0.003466,0.003466
68,16173.4,0.85348,0.55693,1.11038,0.78434,0.75402,0.77153,0.55725,0.52678,0.84055,0.52875,1.1187,0.003367,0.003367,0.003367
69,16401.8,0.8531,0.5551,1.10964,0.78372,0.75438,0.77189,0.55795,0.52726,0.83986,0.52804,1.11815,0.003268,0.003268,0.003268
70,16630.3,0.85158,0.55296,1.11034,0.78435,0.75538,0.77264,0.55862,0.52792,0.83936,0.52748,1.1176,0.003169,0.003169,0.003169
71,16858.5,0.84821,0.55226,1.10708,0.78457,0.75629,0.77232,0.55859,0.52825,0.83877,0.52677,1.11703,0.00307,0.00307,0.00307
72,17086.2,0.84489,0.54809,1.10639,0.78518,0.75674,0.77307,0.55952,0.52913,0.83828,0.52627,1.1166,0.002971,0.002971,0.002971
73,17314.2,0.84418,0.54722,1.1046,0.78337,0.75844,0.7734,0.56084,0.52964,0.83778,0.52559,1.11609,0.002872,0.002872,0.002872
74,17542.4,0.83997,0.54314,1.10249,0.78369,0.75861,0.77427,0.56105,0.53014,0.83729,0.52499,1.11562,0.002773,0.002773,0.002773
75,17770.5,0.83902,0.54297,1.10362,0.78464,0.75948,0.77503,0.56157,0.53079,0.83692,0.52452,1.11517,0.002674,0.002674,0.002674
76,17998.5,0.83721,0.54171,1.10011,0.78711,0.75898,0.77559,0.56275,0.53124,0.83644,0.52391,1.11469,0.002575,0.002575,0.002575
77,18227.4,0.83689,0.54027,1.09958,0.78783,0.75883,0.77626,0.56371,0.53198,0.83599,0.52317,1.11427,0.002476,0.002476,0.002476
78,18455.6,0.83448,0.53506,1.10027,0.78788,0.7597,0.77669,0.56411,0.53221,0.83543,0.52256,1.11377,0.002377,0.002377,0.002377
79,18685.9,0.83198,0.53575,1.09869,0.78852,0.75911,0.77702,0.56464,0.53284,0.83495,0.5221,1.11331,0.002278,0.002278,0.002278
80,18919.1,0.83046,0.535,1.09782,0.78806,0.76008,0.77762,0.56565,0.53347,0.83438,0.52161,1.11283,0.002179,0.002179,0.002179
81,19160.8,0.82328,0.52828,1.09296,0.78723,0.76094,0.77769,0.56573,0.53385,0.83392,0.52107,1.11232,0.00208,0.00208,0.00208
