epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,26129.7,0.92265,0.62738,1.19968,0.75171,0.75143,0.77557,0.55729,0.52567,0.90614,0.58664,1.22815,0.002278,0.002278,0.002278
80,26364.1,0.92128,0.62602,1.20063,0.75255,0.75212,0.77627,0.55829,0.5261,0.90552,0.58606,1.22749,0.002179,0.002179,0.002179
81,26772.4,0.91377,0.61934,1.19312,0.75333,0.75249,0.77688,0.55835,0.52669,0.90481,0.58567,1.22674,0.00208,0.00208,0.00208
82,27008.5,0.91473,0.61893,1.19187,0.75603,0.75147,0.77736,0.55949,0.52725,0.90421,0.58521,1.22599,0.001981,0.001981,0.001981
83,27322.1,0.91325,0.61892,1.19324,0.75885,0.75056,0.77772,0.56011,0.52782,0.90365,0.58466,1.22531,0.001882,0.001882,0.001882
84,27552.2,0.91051,0.61585,1.18946,0.75896,0.75125,0.7778,0.55986,0.52817,0.90312,0.58422,1.22467,0.001783,0.001783,0.001783
85,27805,0.90867,0.61144,1.18864,0.75879,0.75137,0.77834,0.56086,0.52907,0.90262,0.58377,1.22403,0.001684,0.001684,0.001684
86,28036.9,0.90583,0.60965,1.18815,0.76244,0.75733,0.77874,0.56148,0.52957,0.90203,0.58319,1.22339,0.001585,0.001585,0.001585
87,28277.6,0.90625,0.60778,1.18625,0.7547,0.75753,0.77913,0.56226,0.52978,0.90152,0.58266,1.22273,0.001486,0.001486,0.001486
88,28783.2,0.90276,0.60565,1.18655,0.75485,0.75739,0.77982,0.56321,0.53047,0.901,0.58227,1.22204,0.001387,0.001387,0.001387
89,29012.2,0.89936,0.60286,1.18076,0.76619,0.75703,0.78031,0.56447,0.53134,0.90061,0.5819,1.2215,0.001288,0.001288,0.001288
90,29245.6,0.89959,0.59966,1.18311,0.76753,0.7576,0.78069,0.56587,0.53185,0.90008,0.58147,1.22086,0.001189,0.001189,0.001189
91,29492.9,0.86772,0.55229,1.19337,0.76974,0.75706,0.78107,0.56619,0.53216,0.89957,0.58083,1.22018,0.00109,0.00109,0.00109
92,29710.1,0.86068,0.54526,1.18849,0.77119,0.75748,0.78159,0.56638,0.53289,0.89903,0.58024,1.21962,0.000991,0.000991,0.000991
93,29928.9,0.85505,0.54049,1.18457,0.77264,0.7578,0.78217,0.56784,0.53374,0.89837,0.57968,1.21894,0.000892,0.000892,0.000892
94,30145.8,0.85207,0.53843,1.18245,0.77298,0.75852,0.78243,0.56746,0.5342,0.8978,0.57921,1.21835,0.000793,0.000793,0.000793
95,30367.4,0.84872,0.53454,1.17963,0.77479,0.7586,0.7832,0.56771,0.53482,0.89695,0.57862,1.21763,0.000694,0.000694,0.000694
96,30586.6,0.84489,0.53148,1.17494,0.77563,0.75916,0.78361,0.56895,0.53524,0.89632,0.57803,1.21699,0.000595,0.000595,0.000595
97,30810.3,0.84182,0.52836,1.17405,0.77706,0.75937,0.78427,0.56868,0.53585,0.89562,0.57747,1.21627,0.000496,0.000496,0.000496
98,31031.7,0.83812,0.52507,1.17371,0.77943,0.75879,0.78494,0.56925,0.53652,0.89496,0.57686,1.21559,0.000397,0.000397,0.000397
99,31255,0.8347,0.52181,1.16935,0.77986,0.75964,0.78552,0.56979,0.53717,0.89439,0.5761,1.21498,0.000298,0.000298,0.000298
100,31471.3,0.83298,0.51874,1.16813,0.77985,0.75993,0.78607,0.56999,0.53769,0.8939,0.57539,1.2144,0.000199,0.000199,0.000199
