epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
54,44849.7,0.51115,0.55034,0.13805,0.67349,0.67228,0.66353,0.41582,0.4077,0.3828,0.62538,0.15042,0.004753,0.004753,0.004753
55,45682.3,0.61845,0.55531,0.15937,0.67265,0.67621,0.66494,0.41603,0.40796,0.38325,0.62514,0.15036,0.004654,0.004654,0.004654
56,46513.7,0.61451,0.57105,0.16328,0.67104,0.67457,0.66391,0.41247,0.40453,0.38699,0.62686,0.15059,0.004555,0.004555,0.004555
57,47343.4,0.49565,0.56161,0.13523,0.67581,0.67824,0.66812,0.41813,0.40994,0.38195,0.62518,0.14955,0.004456,0.004456,0.004456
58,48171.1,0.62555,0.55453,0.15824,0.67616,0.67801,0.669,0.41645,0.40883,0.38369,0.6247,0.14969,0.004357,0.004357,0.004357
59,49000.3,0.55823,0.54978,0.14191,0.67683,0.67598,0.66757,0.41052,0.40373,0.39095,0.62603,0.15054,0.004258,0.004258,0.004258
60,49829.6,0.64505,0.55772,0.16253,0.67688,0.67705,0.66766,0.40907,0.40268,0.39343,0.62599,0.15058,0.004159,0.004159,0.004159
61,50658.2,0.49641,0.54445,0.13088,0.6754,0.68009,0.66901,0.41005,0.40374,0.39356,0.62588,0.15063,0.00406,0.00406,0.00406
62,51487.5,0.51233,0.54167,0.13979,0.67925,0.68277,0.67347,0.41357,0.40651,0.39141,0.62631,0.15,0.003961,0.003961,0.003961
63,52314.4,0.69916,0.54015,0.17293,0.68194,0.68372,0.67606,0.41636,0.40872,0.38917,0.62476,0.14967,0.003862,0.003862,0.003862
64,53141.9,0.5365,0.53846,0.14204,0.68203,0.68071,0.67433,0.40844,0.40214,0.39828,0.62696,0.15086,0.003763,0.003763,0.003763
65,53972.9,0.68254,0.55238,0.17362,0.68991,0.68377,0.68046,0.41776,0.41026,0.38933,0.62402,0.14971,0.003664,0.003664,0.003664
66,54802.4,0.5017,0.54341,0.13328,0.69252,0.6884,0.68492,0.42673,0.41907,0.37881,0.62087,0.14782,0.003565,0.003565,0.003565
67,55631.5,0.56974,0.54659,0.14474,0.69347,0.69115,0.68736,0.4301,0.42215,0.37555,0.6187,0.1473,0.003466,0.003466,0.003466
68,56511.5,0.58372,0.53066,0.15134,0.69616,0.69299,0.69049,0.43302,0.4249,0.37326,0.61676,0.1471,0.003367,0.003367,0.003367
69,57683.9,0.51501,0.54535,0.13549,0.69646,0.6926,0.69134,0.43301,0.42485,0.37444,0.61718,0.14752,0.003268,0.003268,0.003268
70,58857.4,0.55381,0.51952,0.14262,0.69801,0.69161,0.69166,0.42744,0.41938,0.38231,0.61931,0.14847,0.003169,0.003169,0.003169
71,60035.2,0.4064,0.52238,0.11744,0.70156,0.69366,0.69581,0.43166,0.42371,0.37844,0.61705,0.14806,0.00307,0.00307,0.00307
72,61233.2,0.54898,0.51802,0.13936,0.70079,0.69603,0.69538,0.42638,0.41917,0.38666,0.61739,0.14907,0.002971,0.002971,0.002971
73,62114.1,0.36943,0.51434,0.11247,0.70014,0.69588,0.69489,0.42122,0.41439,0.39467,0.61834,0.15014,0.002872,0.002872,0.002872
74,63210.3,0.52582,0.50841,0.13964,0.70034,0.69744,0.69558,0.4189,0.41335,0.39798,0.61822,0.1504,0.002773,0.002773,0.002773
75,64039,0.46034,0.51854,0.12608,0.70102,0.70057,0.69886,0.42255,0.41676,0.39681,0.61735,0.1498,0.002674,0.002674,0.002674
76,64867.9,0.39802,0.51428,0.11545,0.70423,0.70273,0.70227,0.42594,0.41994,0.39434,0.61597,0.14903,0.002575,0.002575,0.002575
77,65693.1,0.4869,0.52524,0.12921,0.70751,0.7056,0.70625,0.43075,0.42438,0.38975,0.61267,0.1482,0.002476,0.002476,0.002476
78,66639.6,0.36454,0.50235,0.1092,0.70919,0.7047,0.70809,0.42975,0.42482,0.39057,0.61163,0.14788,0.002377,0.002377,0.002377
79,67811,0.52314,0.51138,0.13191,0.71143,0.70551,0.71076,0.43336,0.42777,0.38814,0.60912,0.14744,0.002278,0.002278,0.002278
